comment_id,author_name,author_channel_url,comment_text,like_count,published_at,updated_at
UgyzYuIJOPhE-NwjzDR4AaABAg,@miftahudin4769,http://www.youtube.com/@miftahudin4769,Haduh maaf bg tlt 6thn,0,2025-04-13T19:21:53Z,2025-04-13T19:21:53Z
UgzhQD2OX9x09du7TGx4AaABAg,@AlfinNufus-z3k,http://www.youtube.com/@AlfinNufus-z3k,23 juta 😮 6 tahun kemudian jadi 2 juta😂,0,2025-04-10T02:33:13Z,2025-04-10T02:33:13Z
UgyWOQ9L7Op1wlQseKR4AaABAg,@AlfinNufus-z3k,http://www.youtube.com/@AlfinNufus-z3k,Mana nih yang 2025😮,0,2025-04-10T02:30:02Z,2025-04-10T02:30:02Z
Ugyi5Onmf0ktu0QXKQZ4AaABAg,@Nurma-gs5dl,http://www.youtube.com/@Nurma-gs5dl,Lah Sekarang Kalo Gak Salah Yang Seken Paling Murah 1 Jt Atau 2 Juta 😅,0,2025-04-04T10:52:45Z,2025-04-04T10:52:45Z
UgxSL6JOTy9kyJAmGz54AaABAg,@NanaUraa,http://www.youtube.com/@NanaUraa,gw terakhir,0,2025-03-27T20:50:26Z,2025-03-27T20:50:26Z
UgwIr_dMTGB3ZrbWS4J4AaABAg,@riyuu7797,http://www.youtube.com/@riyuu7797,iphone kok hdc,0,2025-03-17T08:52:50Z,2025-03-17T08:52:50Z
UgxCg4V1rHWC0XvF9EN4AaABAg,@riyuu7797,http://www.youtube.com/@riyuu7797,ten es ten es an,0,2025-02-26T18:46:21Z,2025-02-26T18:46:21Z
Ugw8lj9_A_i811s9xhh4AaABAg,@SkibIdi-g9d,http://www.youtube.com/@SkibIdi-g9d,wow,0,2025-02-09T09:19:01Z,2025-02-09T09:19:01Z
UgwdiUNdmTVNd0MFa3R4AaABAg,@riyuu7797,http://www.youtube.com/@riyuu7797,buat untuk iphone 16 dong,0,2025-01-21T11:51:45Z,2025-01-21T11:51:45Z
UgzN1bS19or2S1T2YO94AaABAg,@HeiRavha,http://www.youtube.com/@HeiRavha,"1:36 udah jelas keliatan yang mana hdcnya KLO liat dari luar box, KLO yang hdc itu lebih ke pucat (kayak gambar yang habis di fotocopy) sedangkan yang asli itu lebih jelas",0,2025-01-02T13:16:18Z,2025-01-02T13:16:28Z
Ugx4ko79jx2O_eqGcip4AaABAg,@jadulentertainment.,http://www.youtube.com/@jadulentertainment.,Sekarang mah udh lebih murah dari replikanya😭,1,2024-12-24T19:58:19Z,2024-12-24T19:58:19Z
Ugy2ljl_Ovm5s_ZAegh4AaABAg,@WARIZMIIbrahim,http://www.youtube.com/@WARIZMIIbrahim,Anjir kameranya lumayan Lo🗿,0,2024-12-15T08:03:57Z,2024-12-15T08:03:57Z
UgxaS1g2R6pXnbh0DPZ4AaABAg,@WARIZMIIbrahim,http://www.youtube.com/@WARIZMIIbrahim,Tapi gw pernah body hp hdc itu di ganti sama iPhone asli🗿,0,2024-12-15T07:51:02Z,2024-12-15T07:51:02Z
UgyNIgUNfq7XIAZsIQR4AaABAg,@CepugiMaulana,http://www.youtube.com/@CepugiMaulana,siapa yg nnton d tahun 2024???,1,2024-12-10T05:38:49Z,2024-12-10T05:38:49Z
UgxIbSYEPaCabvI7IUN4AaABAg,@riyuu7797,http://www.youtube.com/@riyuu7797,aokwowwkwm,0,2024-12-07T13:41:23Z,2024-12-07T13:41:23Z
